iter	Passed	Remaining
0	2	248
1	4	233
2	7	229
3	8	213
4	10	200
5	12	188
6	13	179
7	14	168
8	15	156
9	16	146
10	17	138
11	17	131
12	18	125
13	19	119
14	20	114
15	21	110
16	21	106
17	22	103
18	23	99
19	24	96
20	25	94
21	25	91
22	26	89
23	27	87
24	28	85
25	29	83
26	30	81
27	30	79
28	31	77
29	32	76
30	33	74
31	34	72
32	35	71
33	35	69
34	36	68
35	37	66
36	38	65
37	39	63
38	40	62
39	40	61
40	41	60
41	42	58
42	42	56
43	43	55
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	51	47
52	51	45
53	52	44
54	53	43
55	54	42
56	55	41
57	56	40
58	57	39
59	58	38
60	59	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	64	30
68	65	29
69	66	28
70	67	27
71	68	26
72	69	25
73	69	24
74	70	23
75	71	22
76	72	21
77	73	20
78	74	19
79	74	18
80	75	17
81	76	16
82	77	15
83	78	14
84	78	13
85	79	12
86	80	12
87	82	11
88	83	10
89	83	9
90	84	8
91	85	7
92	86	6
93	87	5
94	88	4
95	89	3
96	90	2
97	90	1
98	91	0
99	92	0
