iter	Passed	Remaining
0	209	209470
1	212	106080
2	214	71337
3	217	54213
4	219	43680
5	221	36659
6	222	31593
7	224	27798
8	225	24844
9	226	22459
10	228	20510
11	229	18871
12	230	17482
13	232	16349
14	234	15396
15	235	14491
16	236	13677
17	237	12981
18	239	12358
19	240	11779
20	241	11263
21	242	10786
22	243	10357
23	245	9964
24	247	9655
25	249	9345
26	250	9031
27	251	8732
28	252	8455
29	253	8198
30	254	7966
31	255	7741
32	256	7529
33	257	7327
34	258	7136
35	259	6955
36	260	6783
37	262	6637
38	264	6508
39	265	6372
40	266	6235
41	267	6104
42	268	5981
43	269	5862
44	270	5746
45	271	5637
46	272	5535
47	273	5433
48	274	5335
49	275	5242
50	277	5169
51	279	5102
52	281	5021
53	282	4940
54	283	4864
55	284	4793
56	285	4723
57	286	4654
58	287	4587
59	288	4522
60	289	4458
61	290	4395
62	292	4343
63	294	4307
64	295	4256
65	296	4199
66	297	4144
67	298	4091
68	299	4042
69	300	3995
70	301	3949
71	302	3903
72	303	3856
73	304	3811
74	305	3767
75	306	3725
76	308	3698
77	309	3661
78	310	3623
79	311	3586
80	313	3552
81	314	3520
82	314	3479
83	315	3445
84	316	3411
85	317	3378
86	318	3346
87	319	3314
88	320	3283
89	322	3258
90	323	3236
91	325	3209
92	326	3181
93	327	3152
94	328	3126
95	329	3099
96	330	3073
97	331	3047
98	332	3023
99	333	2998
100	334	2974
101	335	2949
102	336	2926
103	338	2917
104	340	2899
105	341	2880
106	342	2859
107	343	2838
108	344	2817
109	345	2798
110	346	2778
111	347	2757
112	348	2736
113	349	2715
114	350	2696
115	351	2676
116	352	2657
117	353	2645
118	355	2630
119	356	2612
120	357	2595
121	358	2577
122	359	2560
123	359	2542
124	360	2526
125	361	2510
126	362	2492
127	363	2476
128	364	2462
129	365	2446
130	366	2431
131	369	2427
132	370	2414
133	371	2399
134	372	2385
135	373	2371
136	374	2357
137	375	2343
138	376	2330
139	377	2316
140	378	2303
141	378	2288
142	379	2275
143	380	2262
144	381	2249
145	383	2240
146	384	2232
147	385	2221
148	386	2209
149	387	2197
150	388	2185
151	389	2174
152	390	2162
153	391	2151
154	392	2140
155	393	2129
156	394	2119
157	395	2107
158	396	2097
159	398	2091
160	399	2081
161	400	2072
162	401	2062
163	402	2052
164	403	2042
165	404	2032
166	405	2022
167	406	2012
168	407	2003
169	408	1993
170	409	1984
171	410	1975
172	411	1968
173	413	1960
174	414	1955
175	416	1947
176	417	1939
177	417	1929
178	418	1921
179	419	1913
180	420	1904
181	421	1896
182	422	1887
183	423	1879
184	424	1871
185	425	1863
186	426	1855
187	427	1848
188	429	1845
189	431	1837
190	432	1829
191	432	1822
192	433	1814
193	434	1806
194	435	1799
195	436	1791
196	437	1784
197	438	1777
198	439	1769
199	440	1762
200	441	1754
201	442	1747
202	443	1742
203	445	1738
204	446	1732
205	447	1725
206	448	1718
207	449	1711
208	450	1705
209	451	1698
210	452	1691
211	453	1685
212	454	1678
213	455	1672
214	456	1665
215	457	1659
216	458	1652
217	460	1652
218	461	1647
219	462	1641
220	464	1635
221	465	1630
222	466	1624
223	467	1618
224	468	1612
225	468	1606
226	469	1600
227	470	1594
228	471	1588
229	472	1582
230	474	1580
231	476	1576
232	477	1571
233	478	1565
234	479	1560
235	480	1554
236	481	1549
237	482	1543
238	483	1538
239	484	1532
240	485	1527
241	486	1522
242	486	1516
243	487	1511
244	489	1508
245	491	1506
246	492	1501
247	493	1495
248	494	1490
249	495	1485
250	496	1480
251	497	1475
252	497	1470
253	498	1465
254	499	1460
255	500	1455
256	501	1450
257	502	1445
258	503	1440
259	505	1440
260	507	1436
261	508	1432
262	509	1428
263	510	1424
264	511	1419
265	513	1415
266	514	1411
267	515	1407
268	516	1402
269	517	1397
270	518	1394
271	520	1393
272	521	1389
273	522	1385
274	523	1381
275	524	1377
276	526	1373
277	527	1369
278	528	1365
279	529	1361
280	530	1357
281	531	1353
282	532	1349
283	533	1345
284	535	1342
285	536	1340
286	537	1336
287	539	1333
288	540	1330
289	542	1327
290	543	1323
291	544	1320
292	545	1316
293	546	1312
294	547	1309
295	548	1305
296	551	1304
297	552	1301
298	553	1297
299	554	1293
300	555	1289
301	556	1285
302	557	1282
303	558	1278
304	559	1274
305	560	1271
306	561	1268
307	563	1265
308	564	1261
309	566	1260
310	567	1257
311	568	1253
312	569	1250
313	570	1246
314	571	1242
315	572	1238
316	573	1235
317	574	1231
318	575	1227
319	575	1223
320	576	1219
321	577	1216
322	578	1212
323	579	1208
324	581	1207
325	582	1204
326	583	1200
327	584	1197
328	585	1194
329	586	1191
330	587	1188
331	588	1184
332	589	1181
333	590	1178
334	591	1174
335	592	1171
336	593	1168
337	594	1164
338	596	1163
339	597	1159
340	598	1156
341	599	1153
342	600	1150
343	601	1147
344	603	1145
345	604	1142
346	605	1139
347	606	1135
348	607	1132
349	608	1129
350	609	1126
351	611	1126
352	612	1123
353	613	1120
354	614	1117
355	615	1114
356	616	1111
357	618	1108
358	619	1106
359	620	1103
360	621	1100
361	622	1096
362	623	1093
363	624	1090
364	625	1088
365	627	1086
366	628	1084
367	629	1081
368	630	1078
369	631	1075
370	633	1073
371	634	1070
372	635	1067
373	636	1065
374	637	1062
375	638	1059
376	639	1056
377	640	1054
378	641	1051
379	642	1048
380	643	1046
381	644	1043
382	645	1040
383	646	1037
384	647	1034
385	648	1031
386	649	1029
387	650	1026
388	651	1023
389	652	1020
390	653	1017
391	654	1015
392	656	1013
393	657	1011
394	658	1008
395	659	1006
396	660	1003
397	661	1000
398	662	998
399	663	995
400	664	992
401	665	990
402	666	987
403	667	984
404	668	982
405	669	979
406	671	977
407	672	975
408	673	972
409	674	970
410	675	967
411	675	964
412	676	962
413	677	959
414	678	956
415	679	954
416	680	951
417	681	949
418	682	946
419	683	943
420	684	941
421	685	939
422	687	937
423	688	934
424	688	932
425	689	929
426	690	927
427	691	924
428	692	922
429	693	919
430	694	917
431	695	914
432	696	912
433	697	909
434	698	907
435	699	905
436	703	905
437	704	904
438	706	903
439	707	900
440	708	898
441	709	895
442	710	893
443	711	891
444	712	888
445	713	886
446	714	884
447	715	882
448	717	880
449	718	878
450	719	875
451	720	873
452	721	870
453	722	868
454	723	866
455	724	863
456	725	861
457	725	859
458	726	856
459	727	854
460	728	852
461	729	849
462	730	847
463	732	846
464	733	843
465	734	841
466	735	839
467	736	836
468	737	834
469	738	832
470	739	830
471	740	828
472	741	825
473	742	823
474	743	821
475	744	819
476	745	817
477	747	816
478	748	814
479	750	812
480	751	811
481	752	809
482	753	806
483	754	804
484	755	802
485	756	800
486	757	798
487	758	796
488	759	794
489	760	791
490	762	790
491	763	788
492	764	786
493	765	784
494	766	782
495	767	779
496	768	777
497	769	775
498	770	773
499	771	771
500	772	769
501	773	766
502	774	764
503	774	762
504	775	760
505	777	758
506	778	756
507	779	754
508	780	752
509	781	750
510	782	748
511	783	746
512	784	744
513	785	742
514	786	740
515	787	738
516	788	736
517	789	734
518	789	732
519	790	730
520	792	728
521	793	726
522	794	724
523	795	722
524	796	720
525	797	718
526	798	716
527	799	714
528	800	712
529	801	710
530	802	708
531	803	706
532	804	704
